1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,3_1,3_2,3_3
3,4,3,2,3,4,2,3,4,4,3
3.25,4.75,3.75,4,3.5,4.25,3.5,3.25,4.25,2.75,3.25
3,4,3,2.666666667,3,3.666666667,3,3,4.333333333,3,3
2.333333333,3.666666667,3,2.666666667,2.666666667,3.666666667,2.666666667,3,3,3,3
1.5,2.5,2,2,2.5,2.5,2,2.5,2.5,2.5,2
4,3,3.5,3,2,4,3.5,2.5,3,2,3
3,2,3.5,2,2.5,3,2.5,3,2,2.5,3
2,2.5,2.5,2.5,3.5,2.5,3,3.5,3,2.5,3.5
2.25,3,3.5,2.75,3,2.5,3.25,3,3,2.75,2.75
3.5,2.5,4,4,2.5,3.5,3,2.5,2.5,4,3
4.333333333,4.333333333,4.166666667,4.5,3.333333333,4.5,4,3.666666667,4.166666667,3.666666667,3.666666667
3.666666667,2.666666667,3.333333333,3.666666667,2.666666667,3.666666667,2.666666667,3,2.666666667,2.333333333,3
3.666666667,3.166666667,3.833333333,3.666666667,2.666666667,3.333333333,3.666666667,3.333333333,3,3,3.333333333
2.5,2,2.5,2,3,2,4,3,1.5,2,3
2.75,3.25,3,3.25,3.5,3.25,3.25,2.75,3.25,2.5,3.25
4,2,3,3,3,4,4,3,2,3,3
3.333333333,2.666666667,3,2.666666667,2.666666667,3,1.666666667,2.666666667,2.333333333,2,2.666666667
4,3.333333333,3,3.333333333,3,3.666666667,2.666666667,3,3.333333333,2.666666667,3
4.333333333,2.333333333,3.333333333,3.666666667,3,4,3.333333333,2.666666667,3,3.333333333,2.666666667
4,3.5,4,4,2.5,3,3,3,3.5,3.5,3
3.333333333,3.666666667,4,4,3,3.333333333,3.333333333,3,4,2.666666667,3
4,3.5,4,4,2.5,4,3,3,2,2.5,3
3,2.5,3,2.5,2.5,3,2,3,2.5,2,2
3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3.5
3,3.333333333,2.333333333,2.333333333,2.666666667,3.333333333,2.666666667,3,3.333333333,2,3
4,4,4,4,3,3.666666667,3.333333333,3,4,3.333333333,3
3.666666667,4.333333333,3.666666667,4,3.333333333,4,3.666666667,3.666666667,4.333333333,3.333333333,3.666666667
3,2.5,2.5,2,3,3.5,3.5,3,2.5,2.5,3
4,4,3,2,2,4,3,3,2,2,3
4,4,3.5,3.5,3,4,3,3,3.5,2.5,3
3.666666667,2.666666667,4,3.666666667,4,3.333333333,3.333333333,3.333333333,2.666666667,3.666666667,4
4,4,4,4,3,4,3,2,4,3,3
3.5,2.75,3.5,3.25,3.25,3.5,3,3.25,3,3,3.25
3,3.333333333,3.333333333,3,3.333333333,3,3,3,2.333333333,2.666666667,2.666666667
4,3.5,4.25,4.25,2.75,3.25,3.25,2.75,3.25,2.75,3
2,3,3,3,1,4,3,3,2,2,3
3,4,3,3,3,3,2,3,4,4,3
4,3.75,3.5,4,3.5,3.75,3.25,3.5,3.75,3.25,3.75
3,4,3,2,3,4,3,3,4,3,3
3.5,2.5,3.5,3.5,3,4,2.5,3,3.5,2.5,3
4,4,3,2,3,4,4,3,4,3,3
4,4,3,3.5,2.5,3.5,4,3,4,3.5,3
2.5,2.5,2.5,2,2.5,2.5,1.5,2,2.5,2,2
5,4,4,4,3,4,4,4,4,4,3
3.666666667,4,3.666666667,3,3,3.333333333,2.666666667,3.333333333,3.666666667,3,3
3.333333333,3,3.666666667,3.666666667,2.666666667,3.333333333,3.666666667,3.333333333,2.666666667,3.333333333,3.333333333
3,3,3.25,3.25,3.25,3.5,3.5,3.25,3.25,3.25,3
3.666666667,2.333333333,3.333333333,3.333333333,3,3.333333333,2.666666667,3,2,2,3
3.666666667,4,3.666666667,3,3,4,2.333333333,3.333333333,3.666666667,3.333333333,3
3.5,3,3.5,3,3.5,3.5,3,3.5,3,3.5,3.5
3.5,3.5,3.5,3.25,3.25,3.5,3,3.25,3.25,2.75,3.25
4,2.5,3.5,3.5,3,2.5,2.5,3.5,3,3.5,3
4,1,4,3,2,2,3,1,1,2,2
3.6,3.8,3.4,3,3.2,3.8,3.4,3.2,3.4,2.6,3.4
2,2,3,3,3,2,3,3,2,1,3
3.4,2.8,3.2,3.4,3.4,3.4,3.6,2.8,3.4,3.4,3
3.5,4.5,4,4,3,4,3,3,3.5,2.5,3
2.333333333,1.333333333,2,2,2.333333333,2.666666667,2,3,2.333333333,2.666666667,3
2.666666667,3,3.666666667,3.666666667,3,3.666666667,2,3,4,2.666666667,3
4,2,3,2,3,4,3,3,2,1,3
3.5,3,4,3,3.5,2.5,2.5,3,3,2,3
1.333333333,3,2,2,3,2,3.333333333,3.333333333,3.333333333,3,2.666666667
2.5,3,2.5,2.5,3,3.5,2.5,3,2.5,2,3
3.666666667,4,3,3,3,4,3,3.333333333,4,2.666666667,3
3.4,3.2,3.8,3.2,3.2,3.4,3.2,3.4,2.8,3.2,3
4,3.666666667,3.333333333,3.666666667,2,3.666666667,2.333333333,2.666666667,3.333333333,2.666666667,3
4,2,3,1,3,3,2,3,2,3,3
3,3,2.75,2.75,2.75,3,2.25,3.25,2.5,2.5,3
2,2,3.5,3,2.5,3.5,2.5,2,2,1.5,2.5
1,2,2,3,3,2,2,3,2,2,3
3.5,2.5,4,4,3,3,3.5,2.5,2,3.5,3
3,4,2,3,3,2,3,3,4,3,3
3,3.666666667,2.666666667,3,3,3.666666667,3,3.666666667,3.666666667,3,3.666666667
3,3,3,2.5,3,2.5,3.5,3,3.5,3.5,3
4,4,2,2,3,4,3,3,4,3,3
3.5,2,3.5,3,3,3,2.5,3,2.5,2,3
4.333333333,2.333333333,2.666666667,2.333333333,3,3.333333333,4,2.333333333,2.666666667,3.333333333,3
3,3,3,3,3,4,3,2.5,2.5,3,2.5
2,4,3,2,3,4,3.5,3.5,3.5,2,3
2.333333333,3,3,3.333333333,3.333333333,2.666666667,3.333333333,2.666666667,3,3,3.333333333
3,3.666666667,3.666666667,4.333333333,3.333333333,2.666666667,4,3,3.666666667,3.666666667,3.333333333
1.5,2.5,2.5,2,1.5,3,2.5,2,1.5,1.5,1
4,3.5,3.5,3.5,2.5,4,3.5,3,3,3.5,3.5
3,2.333333333,2.666666667,2.666666667,2.333333333,2.666666667,2.333333333,3,3.333333333,2.333333333,3
2.5,1.75,2.5,2.75,2.5,2.25,2.5,2.5,2.75,3,2.5
2.666666667,3.166666667,2.833333333,2.5,2.666666667,3.833333333,3.166666667,3,2.666666667,2.5,2.833333333
5,4,4,4,3,4,4,3,4,2,3
3,5,4,4,3,4,2,3,5,3,3
2,2,1.5,1,1.5,2.5,1.5,3,1.5,2,2
3.666666667,3.666666667,3.666666667,3.333333333,3,3.666666667,3,3,3,2.666666667,2.333333333
2,5,2,4,3,4,2,3,4,1,3
3.666666667,3.333333333,3.666666667,2.333333333,3,3.666666667,3.666666667,3,3.333333333,3.333333333,2.666666667
3.666666667,3.333333333,3.333333333,3.333333333,2.666666667,3.666666667,3,2.333333333,3.333333333,2.666666667,2.333333333
3.25,3.25,3,3.25,3.25,3.75,3.25,3,3,2.75,3.25
4.666666667,4.333333333,4.333333333,4,3,4,4.333333333,3,4,3.333333333,3
3,3.25,2.75,2.75,2.75,3.25,2.5,3.25,3.25,2.75,3
3.75,3.75,3.5,3,3,2.75,2.5,2.75,3.25,2.25,2.75
2.333333333,3.333333333,3,3.333333333,2.666666667,2,1.666666667,3,3,2.333333333,3
3.333333333,3.666666667,3.666666667,3,3,3.666666667,3.666666667,3,3.666666667,2.666666667,3
4,4,2,3,3,2,3,3,4,3,3
